"program","program","sku","name","color_presentation","price","pdp_url","short_description","description","pdp_url","size","fit_presentation"
"Travel Jeans","Travel Jeans","20067-BMB46-31X32","Travel Jeans","Chesapeake Blue",78,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","31X32","Tailored"
"Travel Jeans","Travel Jeans","20065-BMC98-34X28","Travel Jeans","Memphis Blues",98,"https://bonobos.com/products/travel-jeans","Colorful denim with stretch & a natural resistance to wrinkles.","When you're traveling, bag space is at a premium. Which means you need a pair of pants that can handle anything. That's precisely why we created Travel Jeans. They have a hint of stretch for comfort, they're naturally resistant to wrinkles, and they can do pretty much anything chinos can. But, yes, they are still jeans for all those denim lovers out there.","https://bonobos.com/products/travel-jeans","34X28","Slim"
"The Blue Jean","The Blue Jean","19512-BLF92-35X30","The Blue Jean","Lanier Light Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","35X30","Straight"
"The Blue Jean","The Blue Jean","19513-BMC88-28X30","The Blue Jean","Lake Winnebago Light Wash",98,"https://bonobos.com/products/blue-jean","Perfectly broken-in with a hint of stretch. Made for everyday wear.","We all have that favorite pair of jeans. That treasured, perfectly broken-in pair of denim that we wear a little more than we should. And that's exactly what we set out to recreate. Made from premium denim with a curved waistband and a hint of comfortable stretch, these aren't just a pair of blue jeans. They're THE Blue Jean, and once you put them on, you won't want to take them off anytime soon.","https://bonobos.com/products/blue-jean","28X30","Tailored"
"Pique Polo","Pique Polo","19465-PPM52-XL","Classic Pique Polo","Pink Mesa",68,"https://bonobos.com/products/classic-pique-polo","Your everyday polo made from soft Peruvian piqué cotton.","A rule to live by: when the weather gets warm, a drawer of classic polo shirts is an absolute necessity. They go with everything (think chinos, denim, even a sport coat) and they're designed to be breathable and cool. Our Classic Piqué Polo is made from some of the softest piqué cotton around, and it comes in every color you need.","https://bonobos.com/products/classic-pique-polo","XL","Standard"
"Tuxedo Core","Tuxedo Core","13936-BK005-40R","Capstone Italian Wool Tuxedo Jacket","Black Peak Lapel",650,"https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket",,"There's something to be said for a simple, classic suit. But there's something to be celebrated in a sartorial masterpiece. Crafted exclusively from the finest fabrics in the world, the Capstone is the pinnacle of the Bonobos tailored line, a showpiece suit designed for the connoisseur. Great structures—and great wardrobes—start with a strong foundation. But when you arrive at the summit, the Capstone brings everything together and makes it complete.","https://bonobos.com/products/capstone-italian-wool-tuxedo-jacket","40R","Slim"
"Stretch Washed Chinos","Stretch Washed Chinos","14870-BMC46-35X36","Stretch Washed Chinos","Aquaticas",88,"https://bonobos.com/products/stretch-washed-chino","Our bestselling, better-fitting chinos with 2% stretch for comfort.","Our bestselling, better-fitting chinos with 2% stretch for comfort.","https://bonobos.com/products/stretch-washed-chino","35X36","Slim"
"Jetsetter Fashion","Jetsetter Fashion","22948-BR591-42S","Jetsetter Stretch Wool Suit Jacket","Domenico Blue Brown Windowpane",500,"https://bonobos.com/products/jetsetter-stretch-wool-suit-jacket",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-jacket","42S","Slim"
"Jetsetter Fashion","Jetsetter Fashion","20688-BLV80-34X37UH","Jetsetter Stretch Wool Suit Pant","Patrick Navy Plaid",200,"https://bonobos.com/products/jetsetter-stretch-wool-suit-pant",,"What happens when first-class comfort meets a world-class fit? Something incredible. Something we like to call ""The Jetsetter."" It's a versatile four-season wool suit with a hint of stretch, and a signature passport pocket inside the jacket. It will keep its razor-sharp silhouette whenever you need it, and bounce back from whatever comes your way. At this price, it is an ideal ""first suit"" for those just starting out, but it's equally appropriate for the experienced sartorialist. Whether it's a long flight overseas, or simply a busy week at the office, the Jetsetter will always stay in top form. Simply put, it is a wardrobe essential—the versatile, all-purpose suit that can recover and perform after just about anything.","https://bonobos.com/products/jetsetter-stretch-wool-suit-pant","34X37UH","Tailored"
"Summer Weight Jeans","Summer Weight Jeans","18080-BLF96-29X32","Summer Weight Jeans","Rinse",88,"https://bonobos.com/products/summer-weight-jeans","A lighter stretch denim for warmer climates.","With its casual look and broken-in feel, denim has always been an old favorite. But it can be a little heavy for warmer weather. So what's the solution? Summer Weight Jeans. Everything you love about denim in a lighter weight to keep you cool.","https://bonobos.com/products/summer-weight-jeans","29X32","Straight"
